C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C20;C21;C22;
-1.29;-1.6;0;-10.84;-1.34;-2.71;-25.15;-9.24;-9.27;-10.63;-7.62;-8;-9.75;-19.47;-28.77;51.11;57.69;-38.04;-41.15;-1.87;-68.16;79.24;
-1.09;-1.43;0.23;-11.02;-1.27;-2.52;-25.57;-9.28;-9.37;-10.75;-7.57;-7.98;-9.96;-19.63;-28.7;51.06;57.79;-38.1;-41.16;-1.79;-68.37;79.27;
-0.79;-1.27;0.37;-11.28;-1.09;-2.31;-25.93;-9.35;-9.6;-10.89;-7.43;-8.05;-10.07;-19.72;-28.62;51.02;57.85;-38.11;-41.08;-1.62;-68.56;79.41;
-0.38;-1.31;0.47;-11.44;-0.97;-2.26;-26.29;-9.62;-9.89;-11.11;-7.27;-8.08;-9.99;-19.79;-28.44;50.95;57.93;-38.09;-41.02;-1.34;-68.78;79.6;
-0.11;-1.44;0.41;-11.49;-0.83;-2.21;-26.72;-9.96;-10.17;-11.23;-7.11;-8.12;-9.82;-19.8;-28.16;50.98;58.04;-38;-40.82;-1.05;-69;79.92;
0.01;-1.62;0.41;-11.55;-0.55;-2.28;-27.08;-10.27;-10.44;-11.28;-7.09;-8.18;-9.54;-19.65;-27.89;51.17;58.19;-37.82;-40.59;-0.78;-69.08;80.23;
-0.05;-1.89;0.45;-11.58;-0.34;-2.43;-27.38;-10.57;-10.69;-11.38;-7.16;-8.29;-9.15;-19.43;-27.62;51.34;58.33;-37.76;-40.37;-0.53;-69.18;80.76;
-0.17;-2.24;0.57;-11.56;-0.15;-2.66;-27.69;-10.71;-10.87;-11.47;-7.27;-8.38;-8.66;-19.1;-27.36;51.49;58.56;-37.7;-40.22;-0.41;-69.26;81.21;
-0.5;-2.45;0.76;-11.53;-0.05;-2.96;-27.79;-10.82;-10.93;-11.54;-7.44;-8.62;-8.14;-18.75;-27.12;51.54;58.76;-37.65;-40.05;-0.47;-69.31;81.48;
-0.89;-2.62;0.92;-11.5;-0.17;-3.21;-27.84;-10.8;-10.87;-11.55;-7.7;-8.86;-7.78;-18.44;-26.87;51.53;58.95;-37.68;-39.87;-0.72;-69.23;81.69;
-1.24;-2.73;1.01;-11.38;-0.24;-3.58;-27.82;-10.66;-10.66;-11.44;-7.99;-9.15;-7.4;-18.09;-26.73;51.52;59.07;-37.76;-39.8;-0.97;-69.02;81.56;
-1.5;-2.73;1.1;-11.22;-0.38;-3.98;-27.78;-10.33;-10.39;-11.25;-8.19;-9.45;-7.18;-17.77;-26.7;51.48;59.05;-37.75;-39.79;-1.31;-68.74;81.2;
-1.7;-2.55;1.06;-10.93;-0.61;-4.31;-27.81;-9.88;-9.96;-10.96;-8.35;-9.65;-7.01;-17.55;-26.8;51.34;58.76;-37.79;-39.87;-1.71;-68.37;80.8;
-1.72;-2.19;0.94;-10.68;-0.93;-4.62;-27.78;-9.41;-9.47;-10.5;-8.4;-9.78;-6.88;-17.33;-26.94;51.25;58.47;-37.77;-39.99;-1.99;-68.18;80.3;
-1.63;-1.76;0.74;-10.49;-1.26;-4.86;-27.81;-9;-9;-10.11;-8.32;-9.79;-6.78;-17.24;-27.04;51.09;58.2;-37.85;-39.94;-2.13;-67.88;79.8;
-1.54;-1.28;0.39;-10.38;-1.63;-5.1;-27.81;-8.65;-8.64;-9.79;-8.18;-9.73;-6.72;-17.23;-26.99;51.06;58.02;-37.79;-39.78;-2.22;-67.7;79.32;
-1.23;-0.91;0.02;-10.33;-1.97;-5.28;-27.85;-8.39;-8.33;-9.49;-7.9;-9.54;-6.59;-17.24;-26.97;51.1;57.85;-37.53;-39.58;-2.26;-67.49;79.25;
-0.84;-0.66;-0.27;-10.39;-2.2;-5.42;-27.82;-8.19;-8.06;-9.15;-7.56;-9.31;-6.44;-17.3;-26.89;51.17;57.59;-37.23;-39.39;-2.34;-67.39;79.17;
-0.43;-0.45;-0.53;-10.46;-2.4;-5.5;-27.74;-7.98;-7.76;-8.87;-7.13;-9.04;-6.31;-17.26;-26.72;51.32;57.38;-37.22;-39.19;-2.51;-67.37;79.04;
-0.07;-0.27;-0.79;-10.62;-2.59;-5.54;-27.53;-7.95;-7.53;-8.66;-6.7;-8.71;-6.22;-17.12;-26.59;51.62;57.29;-37.05;-38.99;-2.7;-67.39;78.93;
0.16;-0.14;-0.96;-10.83;-2.72;-5.49;-27.33;-7.9;-7.37;-8.65;-6.37;-8.44;-6.22;-17.02;-26.47;51.86;57.29;-36.79;-38.79;-2.92;-67.35;79;
0.32;-0.05;-1.17;-11.03;-2.99;-5.37;-27.04;-7.85;-7.22;-8.56;-6.09;-8.16;-6.33;-16.87;-26.58;52.18;57.28;-36.48;-38.74;-3.14;-67.24;78.88;
0.45;0;-1.3;-10.99;-3.28;-5.23;-26.73;-7.72;-7.01;-8.43;-5.85;-7.92;-6.46;-16.73;-26.72;52.4;57.4;-36.38;-38.87;-3.29;-67.18;78.82;
0.63;0.06;-1.41;-10.78;-3.53;-5.08;-26.47;-7.5;-6.87;-8.32;-5.67;-7.77;-6.7;-16.7;-26.89;52.57;57.51;-36.36;-39.06;-3.4;-67.2;78.72;
0.85;0.19;-1.48;-10.44;-3.76;-4.96;-26.25;-7.47;-6.87;-8.3;-5.45;-7.54;-6.93;-16.87;-27.11;52.62;57.61;-36.4;-39.38;-3.49;-67.08;78.64;
0.97;0.3;-1.53;-10.09;-3.85;-4.8;-26.09;-7.43;-7;-8.34;-5.31;-7.3;-7.28;-17.2;-27.22;52.59;57.76;-36.52;-39.68;-3.47;-66.94;78.6;
1.1;0.53;-1.54;-9.74;-3.91;-4.53;-25.98;-7.39;-7.14;-8.42;-5.18;-7.12;-7.64;-17.51;-27.35;52.53;57.72;-36.56;-39.94;-3.42;-66.92;78.52;
1.19;0.66;-1.43;-9.49;-3.87;-4.4;-25.8;-7.42;-7.3;-8.47;-5.14;-6.86;-7.92;-17.76;-27.48;52.43;57.62;-36.63;-40.28;-3.37;-67;78.35;
1.32;0.73;-1.34;-9.22;-3.74;-4.39;-25.57;-7.48;-7.5;-8.58;-5.13;-6.67;-8.12;-17.94;-27.67;52.28;57.58;-36.68;-40.59;-3.29;-67.13;78.25;
1.45;0.76;-1.19;-9.11;-3.54;-4.56;-25.26;-7.73;-7.75;-8.87;-5.04;-6.5;-8.36;-18.11;-27.81;52.17;57.45;-36.63;-40.74;-3.23;-67.46;78.27;
1.57;0.66;-1.04;-9.15;-3.32;-4.81;-24.93;-8.1;-8.07;-9.25;-5.03;-6.41;-8.63;-18.27;-27.91;52.04;57.48;-36.7;-40.71;-3.17;-67.75;78.19;
1.63;0.49;-0.85;-9.22;-3.09;-5;-24.55;-8.48;-8.42;-9.66;-4.98;-6.41;-8.89;-18.42;-27.99;52;57.46;-36.62;-40.65;-3.31;-68.03;78.24;
1.76;0.27;-0.64;-9.35;-2.93;-5.09;-24.25;-8.92;-8.79;-10;-4.88;-6.41;-9.14;-18.58;-28.03;52.1;57.44;-36.48;-40.57;-3.45;-68.31;78.31;
1.75;-0.12;-0.55;-9.52;-2.83;-5.09;-23.95;-9.26;-9.16;-10.24;-4.96;-6.41;-9.35;-18.65;-28.06;52.15;57.4;-36.47;-40.52;-3.56;-68.62;78.2;
1.56;-0.51;-0.64;-9.74;-2.88;-5.01;-23.73;-9.6;-9.52;-10.46;-5.01;-6.52;-9.37;-18.72;-27.96;52.17;57.36;-36.44;-40.33;-3.74;-68.9;78.26;
1.3;-0.88;-0.83;-9.96;-3.04;-4.89;-23.52;-9.86;-9.87;-10.71;-5.3;-6.56;-9.46;-18.77;-27.94;52.21;57.3;-36.24;-40.15;-3.85;-69.16;78.34;
0.87;-1.08;-1.01;-9.98;-3.25;-4.81;-23.21;-10.11;-10.13;-10.92;-5.67;-6.64;-9.34;-18.74;-27.88;52.27;57.25;-36.17;-40.13;-3.8;-69.24;78.55;
0.43;-1.23;-1.16;-9.89;-3.49;-4.66;-22.92;-10.25;-10.34;-11.09;-6.09;-6.87;-9.16;-18.68;-27.76;52.41;57.19;-36.17;-40.09;-3.74;-69.05;78.67;
0.09;-1.38;-1.23;-9.72;-3.58;-4.6;-22.6;-10.31;-10.47;-11.25;-6.52;-7.09;-8.98;-18.59;-27.68;52.52;57.19;-36.07;-40.06;-3.51;-68.89;78.86;
-0.19;-1.58;-1.17;-9.56;-3.62;-4.59;-22.24;-10.34;-10.49;-11.37;-6.75;-7.32;-8.78;-18.49;-27.53;52.59;57.33;-36.04;-40.09;-3.21;-68.7;79.07;
-0.36;-1.8;-1.11;-9.34;-3.59;-4.47;-21.88;-10.3;-10.44;-11.47;-6.93;-7.63;-8.67;-18.3;-27.51;52.63;57.4;-35.99;-40.22;-3;-68.42;79.25;
-0.44;-1.94;-0.91;-9.14;-3.48;-4.53;-21.46;-10.18;-10.35;-11.47;-7.12;-7.95;-8.55;-18.2;-27.63;52.54;57.4;-35.94;-40.35;-2.77;-68.23;79.35;
-0.64;-2.04;-0.74;-8.96;-3.3;-4.8;-21.02;-10.09;-10.14;-11.34;-7.26;-8.27;-8.39;-18.09;-27.8;52.53;57.37;-36;-40.43;-2.61;-68.17;79.27;
-0.75;-2.08;-0.6;-8.87;-3.19;-5.16;-20.64;-9.93;-9.94;-11.2;-7.48;-8.66;-8.29;-18.06;-28.09;52.58;57.3;-35.99;-40.54;-2.55;-68.21;79.03;
-0.82;-2.03;-0.54;-8.85;-3.03;-5.54;-20.22;-9.8;-9.78;-11.08;-7.63;-8.95;-8.34;-18.18;-28.37;52.59;57.33;-35.86;-40.65;-2.59;-68.34;78.65;
-0.93;-1.92;-0.55;-8.98;-2.95;-5.84;-19.86;-9.77;-9.64;-10.95;-7.73;-9.22;-8.52;-18.31;-28.47;52.56;57.14;-35.69;-40.87;-2.69;-68.53;78.46;
-0.96;-1.83;-0.55;-9.31;-2.95;-5.99;-19.57;-9.63;-9.54;-10.84;-7.77;-9.56;-8.71;-18.53;-28.5;52.59;56.9;-35.8;-40.85;-2.85;-68.8;78.54;
-0.93;-1.72;-0.69;-9.78;-3.01;-6.07;-19.28;-9.49;-9.52;-10.69;-7.75;-9.68;-8.85;-18.76;-28.4;52.65;56.85;-35.83;-40.74;-3.09;-69.04;78.51;
-0.92;-1.68;-1.01;-10.35;-3.13;-5.95;-18.96;-9.45;-9.48;-10.63;-7.63;-9.82;-8.98;-18.92;-28.25;52.87;56.73;-35.68;-40.52;-3.38;-69.26;78.37;
-0.88;-1.56;-1.26;-10.84;-3.36;-5.73;-18.67;-9.44;-9.56;-10.71;-7.49;-9.9;-9.05;-19.03;-28.02;52.98;56.57;-35.64;-40.29;-3.42;-69.42;78.38;
-0.86;-1.35;-1.48;-11.19;-3.64;-5.38;-18.32;-9.54;-9.72;-10.88;-7.33;-9.9;-9;-18.94;-27.81;53.04;56.52;-35.58;-40.2;-3.32;-69.44;78.55;
-0.77;-1.25;-1.67;-11.43;-3.99;-4.92;-17.94;-9.69;-9.94;-11.17;-7.16;-9.86;-8.91;-18.73;-27.73;53.16;56.48;-35.55;-40.28;-3.29;-69.32;78.72;
-0.62;-1.2;-1.79;-11.54;-4.25;-4.49;-17.55;-9.84;-10.13;-11.35;-6.98;-9.82;-8.69;-18.52;-27.96;53.34;56.47;-35.52;-40.44;-3.24;-69.16;78.97;
-0.45;-1.41;-1.76;-11.48;-4.42;-4.06;-17.2;-9.94;-10.17;-11.44;-6.81;-9.73;-8.46;-18.4;-28.1;53.42;56.5;-35.54;-40.64;-3.25;-69.19;79.21;
-0.25;-1.59;-1.61;-11.36;-4.5;-3.74;-16.97;-9.98;-10.15;-11.53;-6.67;-9.55;-8.34;-18.44;-28.23;53.48;56.6;-35.75;-40.83;-3.34;-69.22;79.35;
-0.27;-1.75;-1.31;-11.26;-4.49;-3.41;-16.83;-9.94;-10.1;-11.44;-6.71;-9.36;-8.32;-18.56;-28.34;53.33;56.79;-35.97;-41.05;-3.46;-69.33;79.4;
-0.4;-1.79;-0.92;-11.14;-4.34;-3.19;-16.78;-9.75;-10.02;-11.28;-6.83;-9.18;-8.36;-18.74;-28.43;53.01;57.08;-36.16;-41.32;-3.42;-69.43;79.44;
-0.59;-1.81;-0.43;-11.13;-4.2;-2.98;-16.73;-9.54;-9.92;-11.03;-7.01;-9.03;-8.57;-18.96;-28.56;52.6;57.25;-36.33;-41.47;-3.43;-69.63;79.24;
-0.74;-1.82;0.08;-11.1;-3.96;-2.82;-16.71;-9.37;-9.68;-10.74;-7.22;-8.95;-8.76;-19.12;-28.71;52.21;57.32;-36.48;-41.46;-3.39;-69.91;79.18;
-0.79;-1.71;0.51;-11.13;-3.56;-2.7;-16.67;-9.23;-9.51;-10.55;-7.36;-8.97;-9.14;-19.25;-28.85;51.79;57.36;-36.7;-41.51;-3.43;-70.14;79.29;
-0.75;-1.44;0.78;-11.25;-3.15;-2.59;-16.6;-9.19;-9.44;-10.45;-7.4;-9.12;-9.36;-19.42;-28.98;51.38;57.44;-36.96;-41.5;-3.39;-70.23;79.34;
-0.63;-1.24;0.96;-11.41;-2.73;-2.5;-16.48;-9.14;-9.44;-10.42;-7.38;-9.33;-9.51;-19.5;-28.99;51.16;57.54;-37.02;-41.59;-3.14;-70.36;79.41;
-0.38;-1.17;1.11;-11.66;-2.34;-2.28;-16.32;-9.26;-9.62;-10.62;-7.25;-9.6;-9.6;-19.64;-28.91;51.1;57.53;-36.91;-41.53;-2.91;-70.48;79.55;
-0.07;-1.22;1.12;-11.82;-2.12;-2.18;-16.12;-9.48;-9.87;-10.93;-7.03;-9.75;-9.58;-19.74;-28.68;51.02;57.6;-36.98;-41.37;-2.7;-70.56;79.58;
0.2;-1.35;1.17;-11.95;-1.93;-2.15;-15.86;-9.76;-10.22;-11.37;-6.9;-9.74;-9.51;-19.75;-28.45;51.07;57.77;-36.95;-41.11;-2.57;-70.44;79.85;
0.31;-1.49;1.13;-12.12;-1.77;-2.18;-15.63;-10.08;-10.59;-11.71;-6.81;-9.71;-9.32;-19.7;-28.1;51.26;57.91;-36.77;-40.86;-2.43;-70.2;80.24;
0.27;-1.76;1.05;-12.15;-1.71;-2.36;-15.36;-10.37;-10.85;-11.99;-6.84;-9.56;-8.85;-19.54;-27.79;51.36;58.05;-36.78;-40.7;-2.3;-69.85;80.69;
0.23;-2.08;1.11;-12.12;-1.64;-2.59;-15.05;-10.65;-10.98;-12.18;-6.99;-9.51;-8.33;-19.24;-27.48;51.57;58.3;-36.75;-40.61;-2.1;-69.49;81.2;
0.01;-2.29;1.24;-12.05;-1.45;-2.88;-14.77;-10.79;-10.97;-12.3;-7.16;-9.45;-7.77;-18.9;-27.21;51.74;58.5;-36.73;-40.45;-1.98;-69.16;81.57;
-0.38;-2.41;1.4;-12.01;-1.22;-3.27;-14.61;-10.75;-10.96;-12.16;-7.47;-9.39;-7.32;-18.57;-27.05;51.86;58.65;-36.79;-40.25;-1.92;-68.86;81.74;
-0.72;-2.49;1.56;-11.94;-0.96;-3.7;-14.55;-10.5;-10.77;-11.91;-7.76;-9.34;-7.01;-18.27;-26.83;51.97;58.79;-36.82;-40.16;-1.85;-68.75;81.69;
-1.01;-2.43;1.67;-11.83;-0.77;-4.1;-14.62;-10.02;-10.43;-11.46;-7.99;-9.22;-6.81;-18.01;-26.85;51.9;58.62;-36.83;-40.17;-1.73;-68.56;81.39;
-1.17;-2.31;1.72;-11.6;-0.75;-4.38;-14.79;-9.51;-9.93;-10.91;-8.15;-9.1;-6.66;-17.79;-26.95;51.76;58.38;-36.9;-40.2;-1.55;-68.46;81.02;
-1.15;-2.03;1.62;-11.33;-0.7;-4.61;-15.03;-8.95;-9.44;-10.49;-8.27;-9.11;-6.63;-17.6;-27;51.64;58.09;-36.95;-40.26;-1.35;-68.51;80.56;
-1.13;-1.62;1.38;-11.13;-0.8;-4.79;-15.37;-8.48;-8.99;-10.09;-8.26;-9.19;-6.57;-17.54;-27.09;51.67;57.82;-37.06;-40.15;-0.99;-68.59;80;
-1.03;-1.11;1.01;-10.97;-0.89;-4.89;-15.74;-8.27;-8.63;-9.76;-8.09;-9.39;-6.53;-17.59;-27.13;51.69;57.67;-36.97;-40.03;-0.67;-68.62;79.52;
-0.79;-0.65;0.65;-10.94;-1.13;-5.01;-16.1;-8.01;-8.29;-9.53;-7.84;-9.69;-6.45;-17.65;-27.09;51.72;57.45;-36.68;-39.81;-0.41;-68.53;79.45;
-0.35;-0.39;0.4;-11.05;-1.52;-5.07;-16.37;-7.95;-7.95;-9.31;-7.51;-9.99;-6.31;-17.7;-27.03;51.77;57.17;-36.23;-39.63;-0.22;-68.49;79.34;
0.12;-0.17;0.17;-11.23;-1.91;-5.2;-16.5;-7.88;-7.68;-9.11;-7.05;-10.17;-6.27;-17.65;-26.88;51.96;57.06;-35.99;-39.39;-0.19;-68.44;79.21;
0.53;-0.02;0.08;-11.38;-2.29;-5.34;-16.52;-7.8;-7.59;-8.99;-6.59;-10.34;-6.21;-17.58;-26.68;52.26;56.97;-35.77;-39.17;-0.29;-68.32;79.11;
0.84;0.17;-0.13;-11.57;-2.56;-5.36;-16.49;-7.75;-7.45;-8.85;-6.23;-10.36;-6.16;-17.43;-26.68;52.51;56.99;-35.49;-39.01;-0.48;-68.23;79.14;
1.06;0.19;-0.27;-11.61;-2.78;-5.31;-16.41;-7.64;-7.34;-8.63;-5.91;-10.38;-6.2;-17.27;-26.67;52.8;57.05;-35.15;-39.06;-0.65;-68.19;79.12;
1.19;0.28;-0.41;-11.54;-2.94;-5.14;-16.34;-7.55;-7.14;-8.41;-5.7;-10.38;-6.21;-17.16;-26.84;53.02;57.03;-35.04;-39.2;-0.94;-68.32;79.14;
1.37;0.35;-0.49;-11.36;-3.03;-4.98;-16.31;-7.34;-6.93;-8.22;-5.55;-10.28;-6.43;-17.13;-27.1;53.19;57.16;-34.99;-39.41;-1.29;-68.55;79.17;
1.48;0.37;-0.57;-11.12;-3.14;-4.88;-16.25;-7.2;-6.92;-8.12;-5.37;-10.13;-6.77;-17.28;-27.2;53.35;57.31;-35.08;-39.77;-1.51;-68.87;79.2;
1.54;0.53;-0.65;-10.75;-3.3;-4.69;-16.2;-7.13;-7.01;-8.16;-5.23;-9.89;-7.12;-17.58;-27.35;53.34;57.35;-35.25;-40.15;-1.67;-69.12;79.11;
1.56;0.63;-0.67;-10.37;-3.46;-4.46;-16.24;-7.13;-7.11;-8.21;-5.16;-9.48;-7.54;-17.83;-27.45;53.27;57.36;-35.49;-40.35;-1.86;-69.43;78.97;
1.65;0.74;-0.61;-9.96;-3.63;-4.34;-16.35;-7.19;-7.26;-8.37;-5;-8.98;-7.89;-18.03;-27.51;53.02;57.22;-35.63;-40.55;-1.94;-69.73;78.72;
1.76;0.82;-0.48;-9.66;-3.82;-4.31;-16.51;-7.35;-7.57;-8.62;-4.87;-8.61;-8.11;-18.12;-27.68;52.82;57.14;-35.79;-40.71;-2.06;-70.07;78.49;
1.86;0.92;-0.33;-9.5;-3.95;-4.46;-16.72;-7.59;-7.94;-8.94;-4.7;-8.27;-8.32;-18.3;-27.81;52.67;57.16;-35.82;-40.9;-2.22;-70.22;78.52;
2.03;0.96;-0.29;-9.56;-3.93;-4.71;-16.83;-7.95;-8.3;-9.32;-4.58;-8.02;-8.5;-18.45;-27.91;52.53;57.11;-35.88;-40.88;-2.39;-70.27;78.53;
2.14;0.79;-0.19;-9.67;-3.92;-4.94;-16.86;-8.36;-8.59;-9.77;-4.6;-7.91;-8.72;-18.71;-28.02;52.44;57.14;-35.79;-40.77;-2.54;-70.19;78.63;
2.23;0.51;-0.02;-9.83;-3.75;-5.13;-16.77;-8.74;-8.9;-10.11;-4.56;-7.69;-8.93;-18.84;-28.06;52.51;57.16;-35.64;-40.74;-2.75;-70.05;78.78;
2.29;0.11;0.04;-10.07;-3.49;-5.26;-16.67;-9.14;-9.24;-10.45;-4.67;-7.52;-9.12;-18.94;-28.11;52.64;57.1;-35.6;-40.66;-2.94;-69.85;78.68;
2.19;-0.36;0.01;-10.29;-3.32;-5.27;-16.56;-9.55;-9.53;-10.68;-4.84;-7.38;-9.21;-19.03;-28.14;52.8;57.13;-35.55;-40.47;-3.14;-69.67;78.7;
1.92;-0.72;-0.12;-10.47;-3.07;-5.13;-16.4;-9.84;-9.83;-10.88;-5.06;-7.18;-9.27;-19.03;-28.07;53.05;57.02;-35.28;-40.31;-3.25;-69.57;78.75;
1.53;-0.97;-0.35;-10.54;-2.93;-4.92;-16.24;-10.06;-10.08;-11.18;-5.38;-6.97;-9.18;-18.98;-28.04;53.24;56.87;-35.16;-40.26;-3.24;-69.5;78.9;
1.08;-1.13;-0.56;-10.48;-2.87;-4.72;-16.03;-10.15;-10.31;-11.42;-5.81;-6.81;-9.06;-18.84;-27.92;53.44;56.87;-35.11;-40.17;-3.19;-69.51;79.05;
0.72;-1.22;-0.52;-10.35;-3;-4.59;-15.82;-10.14;-10.5;-11.65;-6.24;-6.66;-8.98;-18.73;-27.78;53.59;56.86;-35.04;-40.16;-3.16;-69.63;79.27;
0.4;-1.36;-0.44;-10.24;-3.28;-4.51;-15.59;-10.08;-10.57;-11.81;-6.58;-6.58;-8.8;-18.71;-27.61;53.67;57.02;-35.04;-40.16;-3.11;-69.77;79.53;
0.28;-1.49;-0.27;-10.05;-3.53;-4.57;-15.36;-10.07;-10.56;-11.83;-6.84;-6.61;-8.68;-18.53;-27.54;53.68;57.13;-35.01;-40.28;-3.13;-70.03;79.75;
0.23;-1.61;-0.12;-9.86;-3.66;-4.73;-15.21;-10.01;-10.46;-11.77;-7.18;-6.66;-8.61;-18.38;-27.58;53.56;57.05;-34.96;-40.37;-3.2;-70.21;79.85;
0.15;-1.68;0.08;-9.66;-3.74;-4.99;-15.15;-9.84;-10.3;-11.64;-7.47;-6.85;-8.39;-18.18;-27.83;53.45;56.97;-34.92;-40.47;-3.25;-70.33;79.73;
0.05;-1.75;0.27;-9.5;-3.68;-5.23;-15.2;-9.66;-10.1;-11.46;-7.66;-7.06;-8.26;-18.11;-28.13;53.31;56.96;-34.89;-40.64;-3.44;-70.4;79.48;
-0.04;-1.7;0.31;-9.47;-3.57;-5.53;-15.28;-9.53;-9.92;-11.22;-7.75;-7.34;-8.3;-18.21;-28.37;53.23;57;-34.79;-40.71;-3.6;-70.43;79.03;
-0.16;-1.58;0.27;-9.65;-3.39;-5.82;-15.39;-9.46;-9.74;-11.01;-7.78;-7.63;-8.5;-18.47;-28.56;53.22;56.88;-34.68;-40.89;-3.82;-70.42;78.83;
-0.25;-1.48;0.19;-9.98;-3.25;-6.04;-15.5;-9.42;-9.64;-10.78;-7.81;-7.89;-8.74;-18.7;-28.57;53.29;56.66;-34.87;-40.92;-3.98;-70.3;78.86;
-0.27;-1.33;0.02;-10.51;-2.99;-6.13;-15.66;-9.33;-9.57;-10.6;-7.75;-8.13;-8.94;-19;-28.5;53.49;56.51;-34.76;-40.76;-4;-70.2;78.87;
-0.24;-1.27;-0.23;-11.1;-2.86;-6.04;-15.68;-9.24;-9.54;-10.52;-7.54;-8.39;-9.05;-19.19;-28.34;53.66;56.36;-34.47;-40.57;-3.87;-70.21;78.78;
-0.22;-1.13;-0.51;-11.57;-2.83;-5.84;-15.55;-9.21;-9.64;-10.55;-7.33;-8.6;-9.02;-19.2;-28.16;53.84;56.15;-34.31;-40.31;-3.58;-70.2;78.83;
-0.13;-1;-0.69;-11.92;-2.86;-5.5;-15.29;-9.32;-9.8;-10.73;-7.11;-8.89;-8.94;-19.06;-28.01;54.03;56.16;-34.31;-40.17;-3.27;-70.39;79.02;
-0.08;-0.88;-0.83;-12.11;-2.92;-5.12;-14.9;-9.62;-10.02;-11.01;-6.89;-9.13;-8.68;-18.81;-27.97;54.26;56.16;-34.33;-40.13;-2.97;-70.56;79.2;
0;-0.91;-0.87;-12.11;-3.11;-4.64;-14.62;-9.82;-10.19;-11.32;-6.68;-9.41;-8.49;-18.55;-28.13;54.49;56.07;-34.36;-40.28;-2.68;-70.8;79.32;
0.17;-1.09;-0.87;-12.06;-3.41;-4.14;-14.27;-9.99;-10.23;-11.48;-6.54;-9.66;-8.4;-18.4;-28.32;54.54;56.09;-34.41;-40.44;-2.58;-71.07;79.5;
0.29;-1.35;-0.77;-11.94;-3.77;-3.82;-14.03;-10.06;-10.22;-11.52;-6.43;-9.81;-8.44;-18.41;-28.38;54.43;56.25;-34.56;-40.6;-2.63;-71.14;79.56;
0.37;-1.46;-0.5;-11.84;-4.07;-3.49;-13.87;-9.99;-10.13;-11.45;-6.52;-9.95;-8.64;-18.54;-28.51;54.13;56.36;-34.71;-40.89;-2.78;-71.22;79.58;
0.37;-1.45;-0.09;-11.72;-4.28;-3.3;-13.78;-9.85;-9.97;-11.36;-6.65;-10.13;-8.8;-18.72;-28.66;53.79;56.73;-34.97;-41.2;-2.99;-71.33;79.6;
0.27;-1.45;0.35;-11.71;-4.39;-3.15;-13.88;-9.66;-9.74;-11.21;-6.8;-10.13;-8.88;-18.92;-28.77;53.43;56.91;-35.14;-41.34;-3.22;-71.33;79.45;
0.23;-1.4;0.79;-11.67;-4.43;-3;-14.03;-9.49;-9.51;-11.08;-6.89;-10.1;-8.92;-19.08;-28.8;52.99;56.94;-35.32;-41.39;-3.37;-71.28;79.46;
0.19;-1.21;1.15;-11.71;-4.34;-2.87;-14.2;-9.38;-9.27;-11.03;-6.89;-9.99;-8.95;-19.27;-28.88;52.53;56.99;-35.57;-41.49;-3.43;-71.11;79.59;
0.18;-1.01;1.45;-11.79;-4.13;-2.82;-14.33;-9.24;-9.19;-11.03;-6.91;-9.75;-8.94;-19.31;-28.97;52.16;57.09;-35.86;-41.54;-3.28;-70.86;79.6;
0.28;-0.88;1.77;-12.02;-3.77;-2.65;-14.45;-9.23;-9.19;-11.04;-6.85;-9.52;-8.96;-19.49;-29.08;52.09;57.15;-35.96;-41.64;-3.13;-70.54;79.72;
0.52;-0.85;1.98;-12.23;-3.33;-2.45;-14.58;-9.28;-9.35;-11.08;-6.72;-9.34;-9.06;-19.65;-29.01;52.02;57.23;-36.01;-41.55;-3.09;-70.32;79.79;
0.87;-0.89;2.07;-12.45;-2.91;-2.3;-14.6;-9.54;-9.61;-11.17;-6.68;-9.18;-9.16;-19.72;-28.83;52;57.23;-36.16;-41.37;-3.11;-70.06;79.83;
1.14;-0.93;2.12;-12.57;-2.49;-2.25;-14.49;-9.79;-9.99;-11.28;-6.58;-9.03;-9.13;-19.79;-28.54;52.11;57.39;-36.09;-41.13;-3.21;-69.93;80.09;
1.21;-1.05;2.07;-12.64;-2.24;-2.24;-14.37;-10.15;-10.33;-11.43;-6.57;-8.98;-8.94;-19.69;-28.25;52.26;57.52;-35.89;-40.9;-3.34;-69.73;80.45;
1.14;-1.18;2.08;-12.65;-2.04;-2.35;-14.13;-10.38;-10.75;-11.61;-6.67;-9.05;-8.63;-19.49;-27.97;52.45;57.7;-35.88;-40.74;-3.49;-69.59;80.91;
0.91;-1.34;2.14;-12.63;-1.89;-2.6;-13.88;-10.59;-11.01;-11.77;-6.76;-9.19;-8.23;-19.09;-27.71;52.6;58;-35.76;-40.68;-3.53;-69.62;81.31;
0.55;-1.43;2.23;-12.58;-1.75;-2.93;-13.66;-10.7;-11.11;-11.84;-6.9;-9.37;-7.8;-18.69;-27.44;52.71;58.19;-35.68;-40.54;-3.59;-69.63;81.6;
0.22;-1.49;2.38;-12.52;-1.55;-3.35;-13.4;-10.7;-11.11;-11.88;-7.11;-9.61;-7.51;-18.4;-27.2;52.67;58.37;-35.68;-40.39;-3.58;-69.56;81.85;
